结局让人舒服！这精神状态进去不得尿检一下吗？: 精神状态需尿检
华语金曲榜新歌推介王源@王源《參演角色》词曲王源袁景翔李宗遠魏楠楊格，编曲楊格，制作人王源。参演角色《参演角色》是一场无疾而终的暗恋往事，也是一段胆怯的情绪翻涌。歌曲巧妙的通过给木吉他和钢琴挂载颤音效果器的方式，改变了原声乐器的色彩和律动，使他们的音色如合成器一般稳定颤动，增添了一丝复古的色彩。而挂载合唱效果的电吉他与人声一唱一和，把内心的失落轻轻地带过。除了旋律部分，《参演角色》在音效设计上也有很多巧思，开篇手部撞击木吉他的声音，造成歌曲在不经意间就开始的效果，给人非常随性亲和的感觉鼓刷轻拭鼓皮的声音像沙子般细腻，它埋藏在第一个副歌中，小心翼翼地为歌曲增加了温度倒放的旋律和模拟黑胶唱片骤停的声音穿插在歌曲中，为情绪润色略微摇摆的电鼓诠释着的经典律动，配合像秒针般响动的电吉他刮弦声，以松散的方式勾勒出节奏线条。《参演角色》以的曲风为基底，通过音色上精细入微的设计，营造出歌者在优美月光下和听众窃窃私语讲述遗憾故事的情景，呈现出一种让人着迷的忧伤。————————————————————执行制作杨格森岛文化@森岛文化制作总监人声录音李宗远21@21人声编辑李宗远21@21人声录音室21配唱制作人宇儿森岛文化@森岛文化杨格森岛文化@森岛文化和声编写和声袁景翔森岛文化@森岛文化吉他胡洋乐器录音李宗远21@21乐器录音室21乐器编辑李宗远21@21弦乐编写杨格森岛文化@森岛文化弦乐监制胡静成小提琴颜柯张浩中提琴毕芳大提琴郎莹弦乐录音王小四金田录音棚@金田录音棚弦乐录音室金田录音棚弦乐编辑李宗远21@21混音周天澈21@21母带周天澈21@21你像云漂浮空中尽力也无法相拥我躲在人海之中拼凑着你的线索你知道故事最后不是都有始有终关心只作为朋友无关爱情的拉扯原谅胆怯的我藏在城市角落有观众在身后心事隔着镜头下一秒就收走情绪的翻涌原谅炙热的我站在夜晚背后笑着表演难过真实感叫醒我所有参演角色只有你会穿过人群看我你知道故事最后不是都有始有终关心只作为朋友无关爱情的拉扯原谅胆怯的我藏在城市角落有观众在身后心事隔着镜头下一秒就收走情绪的翻涌原谅炙热的我站在夜晚背后笑着表演难过真实感叫醒我所有参演角色只有你会穿过人群看我: 王源新歌《参演角色》以曲风为基底,营造出让人着迷的忧伤。
刘若英《后来》飞行日深圳站，大合唱永远让人那么动容，最怕在某个年纪忽然听懂了一首歌，你有多久没有看演唱会了！长焦摄影爱好者: 刘若英《后来》深圳演唱会,大合唱让人动容,摄影爱好者期待。
纪录减一 打破的纪录成为单曲榜历史上次周排名跌幅最大的空冠单曲: 打破记录成为空冠单曲
《喜欢你》年会的小节目，这么多年一起走过的点点滴滴，同时也是七周年的礼物啦[成人礼]声工场@729声工场金弦: 《喜欢你》年会礼物,声工场金弦。
成都成都国际非物质文化遗产博览园旅游景区李辉: 成都国际非遗博览园旅游景区李辉
一个特别伟大的混音视频油管上一个音乐博主总结了霉霉姐常用的和弦并把相同和弦的歌混音在一起从2006年到2022年不同的一同献唱一个伟大的属于的时代在眼前展现听一次哭一次大娃子: 霉霉姐混音视频总结
如何用一只杯子和勺子伴奏出很酷的音乐？全球精选: 用杯子和勺子伴奏的音乐,全球精选。
我不是神我只是平凡却直拗爱着你的人: 我不是神,但爱着你。
李宇春@李宇春新专辑中《鸵鸟逃跑了》的预告来啦这首歌是根据真实的鸵鸟跑进闹市新闻事件写成的歌。黑白新闻纪实质感的预告太有创意了，期待明天1000专辑正式上线！李宇春: 李宇春新专辑预告新歌《<unk>鸟逃跑了》
日榜收听收听上升最多给到藏在甜言蜜语背后的是你的虚情假意绝不会对你盲从因为我如此机智聪明我绝不可能被你所吸引不会被牵着鼻子走: 收听榜单上升,强调虚情假意,不会对你盲从。
刘耀文原创新歌耀眼的你: 刘耀文新歌亮相
唱唱赵雷的歌赵雷脆莓范文珂: 唱唱赵雷的歌范文珂
电视剧长月烬明的优酷视频: 电视剧长月播出优酷视频
《铃芽之旅》中文同名主题曲上线14天收藏突破50，连续半个月单日收听突破100，一周内单平台收听突破1000《铃芽之旅》音乐和电影都大出圈了，优质音乐与电影本身相辅相成。卡布叻周深@卡布叻周深钢镚小豆豆: 《铃芽之旅》中文主题曲上线14天收藏突破50,一周内收听突破1000。优质音乐与电影相辅相成。
体育首尔 朴智旻获100一位，韩国歌手首位3日公开的美国公告牌最新排行榜显示，智旻上月24日发行的个人专辑的主打歌在主单曲排行榜100中占据了第一位。智旻之前凭借在主专辑排行榜200中占据过第二位。朴智旻: 朴智<unk>获美国公告牌排行榜100位,主打歌占据首位。
下集《我的親人》4月14日晚上900揭盅: 《我的<unk>人》揭盅
实时播报 回到卡九位单小时收听人数3万: 实时播报收听人数达3万
看到延续这两个字我就老眼昏花。。搞半天还没登陆呢亲们。。: 延续两个字未登陆
《飘飘》是王心凌演唱的一首歌曲，由曹格作曲，崔惟楷作词，收录于王心凌2007年11月30日发行的专辑中歌词我为你飘飘我为你我的心飞起来你让我可爱你让我因为你的爱爱的红颜: 王心凌新歌《飘飘》收录于王心凌专辑中歌词
日榜 是春日的想念还是未回归的咒怨日涨幅新高: 日涨幅新高,想念还是咒怨?
今日投稿王俊凯《万里归途》我梦过那阵跨山而来的风落入尘嚣中轻抚过面孔我恨过世间那漫野的火种他干哑的喉我攥紧的手奔赴的人可曾问那归程只迎向长夜的方向摇晃着的微光迷途的人还在等某盏灯划破这黑暗的漫长把路照亮我身在归途踏平那万里路等破晓的光闪烁在不远处就算是疮痍满目不能退不能输赤手的人怎会害怕穷途末路我向着光独自踏上万里归途投稿人遇见了便是值得@遇见了便是值得视频来源分享视频歌手王俊凯《万里归途(《万里归途》电影同名推广曲)》万里归途(《万里归途》电影同名推广曲)音乐@音乐: 王俊凯新歌《万里归途》分享,讲述创作历程。
每段旅程都一定会有终点玩得尽兴不怕说再见开口定调1林墨@1林墨，音色真的太清亮了: 1林墨的终点音色清亮
阿鲲老师有多厉害[老师好]《舌尖上的中国》，他写的《流浪地球》，他写的就几句歌词但是宛若故事的《九儿》，他写的: 大鲲老师写的《流浪地球》和《九儿》。
首日收听 首日收听人数刚好来到日亚位: 日亚位首日收听人数增加
秀包里没东西了？算了扔包吧啊啊啊啊啊: 秀包里没东西,扔包吧
奔跑孩子广州站结束奔跑孩子成都站准备感谢艾热@艾热张颜齐@张颜齐: 奔跑孩子广州站结束,感谢艾热张颜齐。
戴佩妮担任主唱的佛跳墙乐队将于5月28日在广州太空间举办巡演。据闻此次巡演是在完成2019年巡演余下的已签约场次，因此站次不会特别多，想要看到他们的朋友抓紧机会。: 佛跳墙乐队5月28日广州巡演
首张正式专辑歌单*主打*2(坂本龙一): 坂本龙一发布新歌单*2
金智秀出道曲获得本周榜一位，粗卡秀秀！: 金智秀曲获榜单一位
炙手可热巡演最后两站啦414深圳415武汉我们不见不散！！: 414深圳415巡演最后两站
正式官宣！南京厂牌将在4月7日晚八点发布！你期待了吗？: 南京厂牌官宣4月7日发布
正规一辑全专试听，对我的耳朵很友好！[送花花]: 耳朵友好,一辑全专试听。
丁海寅、郑容和家族演唱会现场合作带来歌曲《因为想念》！两个人的嗓音搭配的很好，小丁唱歌的时候，感觉歌曲里都充满了温柔！: 郑容和现场合作歌曲《因为想念》
艾志恒（网易云音乐@网易云音乐）网易云已上线，感谢艾志恒@艾志恒@[作揖]: 网易云音乐上线感谢艾志恒
两年前的今天，孙胜完首张个人专辑预告写真8公布。: 孙胜公布个人专辑预告写真
告五人演唱会嘉宾是五月天: 告五人演唱会嘉宾为五月天
首页 最近四周新歌榜真的太拥挤了半个都挤在4月回归[老师好]: 新歌榜拥挤,4月回归
49杭州华晨宇火星演唱会 《酝酿一下》好帅: 华晨宇演唱会《酝酿一下》
东京演唱会直拍真的给这首歌注入灵魂，好享受舞台: 东京演唱会带来灵魂享受
梁博的现场太牛逼了[作揖][作揖][作揖]梦回我是歌手啊！: 梁博现场作揖
我也不知道为什么这位大叔给我感觉就蹦得有点像是我教导主任背景是大哥的《黑白艺术家》: 大叔蹦极像教导主任,背景是大哥。
回归预告 2李彩演迷你二辑主打曲预告释出，将于412发行。: 2李彩演新曲预告释出
林俊杰新歌4月14日上线: 林俊杰新歌4月14日上线
公开，轻松欢快的节奏好上头文星伊金容仙韩国2: 欢快上头文星伊金容仙韩国2
林俊杰我来火速翻弹一个15《愿与愁》真的好爱这个预告啊啊啊啊[哇][哇][哇]: 林俊杰发布《愿与愁》预告
闵玧其专辑将于2023年4月21日(周五)发行！预售4月3日先行曲4月7日专辑4月21日是前两张专辑和《2》三部曲的最后一章！: 闵<unk>其新专辑将于2023年4月21日发行
一起来听听张选叶炫清献唱的《长月烬明》插曲音乐《不逾》吧！世间之事辗转变换，轮回之后最终还是熟悉的人近在眼前一次次的无法逃离最终决定长月常相约，繁华落尽情不逾。不得不说张远@张远叶炫清@叶炫清两个人的嗓音，配上这次的插曲氛围感觉有了！浅浅期待一下正片上线呀: 听张选叶炫清献唱《长月烬明》插曲音乐《不逾》吧,期待正片上线。
又到一年清明，春花秋月，四季轮转，辛苦最怜天上月，一昔如环，昔昔都成玦，唱罢秋坟愁未歇，春丛认取双栖蝶。周深这首《流光》献给所有思念和被思念的人们[微风]中国青年报: 周深新歌《流光》献给思念者
中文字幕版已公开！！请多多在评论区留下感想[心动超崽]中字: 中文字幕版公开,留言留感想。
刘德华《17岁》小时候想快点长大，长大后想快点离开家，读大学的时候希望赶紧毕业，毕业走进生活之后才发现原来最好的时刻好像在我们都催促中都已经过去了总是很想回到过去的某一个时间节点，想那个时候到自己，念那些日子里的场景。于是，我们回不去的日子，便成了最好的时光: 刘德华新歌《17岁》:回不去的日子,成为最好的时光。
音乐物语酷狗音乐物语酷我音乐: 音乐物语、酷狗音乐、酷我音乐。
对世间充满希望，才是真的你。晚安，好梦！苏醒@苏醒《不要劝我放下》苏醒: 晚安好梦,苏醒新歌《不要劝我放下》。
投 虽然只是蛐蛐音乐的飙升榜但是全专上榜是不是也说明有听多路人也喜欢听: <unk>音乐飙升榜,全专上榜说明听多路人喜欢。
大家好！经过几个月的准备，我们定下了八个城市的演出！4月14日中午1200上海、深圳、重庆、成都场正式开票 ，下半年的场次开票时间待定我们会唱18首歌左右，结束后大部分场次都有签售（具体请看售票页面哦），现场也有新和周边，热烈欢迎大家来现场见面呀！！！！详情见评论夏铜子: 四大城市演出,4月14日开票,唱18首歌,大部分场次有签售,欢迎现场见面。
天津天津蓬莱阁(大胡同天乐商城店): 天津蓬莱阁天乐商城店
日榜收听收听上升最多给到我像白色的花瓣一样飘零反正抓不到的人是你被轻轻吹来的风所吸引虽然春天到了但我们已该: 收听上升最多
梁博《男孩》48海潮音乐节现场，干净、纯粹的男孩来了，博哥考虑下演唱会吧，音乐节根本听不够！啧: 《男孩》海潮音乐节现场,博哥考虑下演唱会。
东京演唱会1饭拍视频一则安可版全款裸专 首批买合集特典毕业指南 首尔屏应援 环城应援2 全国电影院应援 永登铺签售会世界一等手信 城联动国内线下花店应援 应援1首尔地铁198块屏 2023招新简章 智秀个人油管账号103 智秀账号 双下划线智秀微博账号智秀@智秀金智秀: 智秀直播演唱会,视频安可版全款裸专。
