机场航站楼门口偶遇鞠婧祎鞠婧祎这腰比我腿都细本人真的好美！！: 机场偶遇鞠婧祎
日前在就早早上架了《无名》主题曲，现在看到北美版海报和预告，还有和都报道了，《无名》海外发行正发行工作室下周会在柏林（)買片，欧洲市场也要开始刷脸啦，还特别提了周迅和王一博的《我的朋友》入选柏林电影节短片竞赛单元呢。《无名》这是要扬名天下的节奏啊，恭喜无名恭喜王一博@王一博: 《无名》北美版海报和预告
央视网主持的话题哦，真不错，是路人和业内都要夸夸的水平！: 央视网主持人谈路人和业内夸夸的水平
看，只有毁灭人类，才能拯救文明。: 毁灭人类,才能拯救文明
深海导演谈中国动画好有格局: 海海导演谈中国动画好有格局
《无名》值得反复观看，我已经预约完了，就等着啦，好的电影真的会让人重新审视个人命运与时代的关系，是看完还在回味里面的每一个细节人物，就像王一博也是让人更是耳目一新，把叶先生这个角色演活了，无名是那个年代的诗歌，是那个时代的众生相，叶先生很惊艳王一博@王一博: 《无名》值得反复观看
导演说的很实在，无名真的太好看了！看完之后，你能记住每一张脸！虽然他们没有名字，却带给我们深深的震撼！: 无名太好看了!看完之后你能记住每一张脸
花式刷片挑战: 刷片挑战
戬儿你看，这点点星火，都是我。沉香，我拼尽全力，也只能让你见母亲一眼。【出处《新神榜杨戬》】: 《新神榜》杨戬
马兆鸥的日常2图恒宇扣大分。: 2图恒宇扣大分
任嘉伦@任嘉伦: 任嘉伦
流浪地球2（2023）我的评分[星星][星星][星星][星星][半星]总体评价近两年看过最好看的科幻片！[哇]这部电影没有一个镜头是多余的，很喜欢的一个场面就是月球无声的爆炸，场面十分壮观，可是没有声音，对比感真的强。我带着上小学的弟弟去看的，看得很认真，完了也跟我提了好多疑问，我和他一起探讨着试着解答着，解答不了的就搜索一些深度解析，仿佛上了一节科学课最后要说的是，流浪地球2看完后后劲很足，去逛商场，抬头看到摄像头都觉得透露着一股阴险的气息，懂得都懂[]: 流浪地球2评分
能看出来一间小小的房间剧组花费了很多精力，在许多细节上都做了专门的设计！有的地方他们不解释还真的发现不了！小破球值得！: 剧组一间小房间,小破球值得!
拿的就是逆风翻盘的剧本好电影值得被更多人看到: 逆风翻盘的剧本好电影
不是所有电影都有必要去影院看，但流浪地球2绝对有必要，电梯升空那段，有环太平洋般的爽，就是这一段长镜头拉起来，成了我观影之后印象最深的片段，为了看效果专门选的厅，只能说那一段头皮都要飞起来了，直接哇喔一声出来的举手我想象过太空电梯的样子，不知道有多少人和我一样看到电梯这段儿被震撼到了，时隔四年特效肉眼可见的进步，真的是太细节了！全片最感动的一幕。代表人类希望的宇航员们，乘坐着凡人的天梯，扶摇九天而上。配合着不断攀升的音符，将科幻的浪漫展现的淋漓尽致。强烈推荐: 流浪地球2最感动的一幕
剪刀手轩辕那里看到了表格忍不住填了[喵喵]: 填表填表格
直播间分析过这片子端午档期不错，票房也希望能像朱一龙上部电影《人生大事》一样票房大麦。: 直播间:朱一龙上部电影《人生大事》一样票房大麦
2023年截至上周日产出的票房为92亿美元（不含2022年的125亿美元）！: 日产上周票房92亿美元
不得不说看了电影《中国乒乓之绝地反击》发布全新五虎预告，真的是感觉很惊喜，而且把片中五虎每个人鲜明的个性都展现了出来，真的是期待许魏洲的精彩演绎了: 许魏洲期待许五虎精彩演绎
3888学生电影票优惠券那时候上小学，感觉20块看电影就很贵了。只有期末的时候才会发。: 电影票优惠券那时候上小学,感觉20块看电影就很贵了
在各种影视作品里，对我影响最大的是科幻电影，如果细究起来，有两部（千万不要看第四部，求一双没看过的眼睛）以及2001我真的难以理解人类对于的狂热: 科幻电影对我影响最大
谁能替图恒宇回答刘培强的问题？月亮要没了，中秋节还会放假吗？小破球再追加一个问题元宵节要怎么过呢？这么一想真的非常感谢月亮为我们带了这么多佳节！[流浪地球2][流浪地球2][流浪地球2]: 小破球再追加一个问题:元宵节还会放假吗?
新片《雷霆沙赞2众神之怒》引进内地并官宣定档，将于3月17日同步北美，在各大院线上映[喵喵]！: 《雷霆沙赞2众神之怒》引进内地并官宣定档
好演员的镜头感是天生的吧！易烊千玺这哭戏太有感染力了[苦涩]每一个角色的故事都令人动容！易烊千玺: 易烊千玺哭戏太有感染力
穿搭不知道有没有参考，但是之前两个人一起参演的电影万里归途，职业到是很一致，都是外交官！！！没看过的可以去看一下，以真实撤侨为背景讲述的外交官故事！！央视新闻: 万里归途职业到很一致
在活动上郭帆说自己小时候很喜欢科幻，也希望这部电影可以启发小朋友们的想象力，流浪地球的一和二都是在青岛拍的，如果将来会有流浪地球3的话一定还在青岛拍！: 流浪地球3将在青岛拍
贾樟柯@贾樟柯谈《无名》群像，每一张脸都符合40年代的想象，他们属于40年代，没有一个演员是跳戏的。娱乐日爆社程耳在对谈中还表示，大家的批评建议他全盘接受，《无名》之后他将更倾注到作品中，站到更大的视角，去抚慰那些更需要抚慰的心灵，更加无助的灵魂。娱乐日爆社: 贾樟柯谈《无名》群像
上周一部《流浪地球2》给美国媒体整破防了昨天一个流浪气球给美军都整急了阿美莉卡你这不行啊: 流浪地球2给美国媒体整破防了
漫威终于原谅我们了！看起来也没回报人家多少吧。这合适吗？: 漫威原谅我们了!看起来也没回报人家多少吧
腥风血雨的春节档迎来温馨一刻: 春节档迎来温馨一刻
业内人员表示如果《深海》票房一直不好，估计挺长一段时间会看不到这样的作品了。未来投资方或者出品人会打压这种题材，降低对这种题材的预算。: 业内人士谈《深海》票房:未来投资方或打压题材
梁家辉于谦片场搞怪三连拍，严肃开心搞怪哈哈哈哈哈哈哈好开心的现场氛围电影老江湖: 于谦片场搞怪三连拍
王一博方否认与女顶流传闻: 一博方否认与女顶传闻
一个新的点，就是香港部分叶先生进入王传君他们家餐厅跟最后在佛堂是两套衣服。那就证明这不是一两天的事，这是一个长久的等待，只不过导演把他刚好放到了香港部分的时间线。应该到香港之后，叶先生一直就像树叶一样漂流漂流，没有同志接应，他没有朋友，没有亲人，没有爱人。只有他一个人。他无法向人诉说他的过去，也没有人去接应他看看未来。他就这样每日穿梭于佛堂之前，等待着故人出现，看袅袅香气，感受佛的洗礼，忏悔前半生所有的杀戮，等待后半生所有的机会。所以说王一博说过叶先生是一个很苦的人[悲傷]突然之间再细细品味这一段，他确实太苦了。: 王传君:叶先生很苦
妈妈！（2022）我的评分[星星][星星][星星][星星][星星]《妈妈！》真的好哭！！！妈妈题材结合阿尔茨海默症题材是能够直接引起我们这些中老年人的共鸣，让我们发现母亲在生活当中的不易。上了年纪的长辈，确实健忘，有时连一些特别亲近的人都认不得了。生活中更多称为糊涂了。可是他们在糊涂了之后，对自己孩子的爱依然是非常的深刻，依然能够记得孩子们最喜欢吃的食物，依然害怕孩子们吃不饱，穿不暖。这种85岁妈妈照顾65岁女儿的戏码，辅以类似妈妈本是头孤勇的母狼的台词，一下让妈妈的感人形象呼之欲出。能够看到这样令人感慨万分，流泪不止的电影，我的内心是觉得非常的满足。: 《妈妈!》真的好哭!!!
梁朝伟王一博王传君片场聊天: 王一博王传君片场聊天
陈晓王一博冰雨火韩版海报: 晓晓王一博冰雨火韩版海报
程耳导演，梁朝伟王一博等主演的电影《无名》将于2023年2月17日在北美上映，由负责发行，该公司发行作品北美最高战绩是甄子丹的《叶问4》395万美元。目前本片在内地上映进入第11天，票房超过66亿。: 梁朝伟新片《无名》北美票房超66亿
头戴花环的少女（？和少女的海鸥父亲（？？[老师好][老师好][老师好][开学季][开学季][开学季]: 海鸥父亲头戴花环的少女(?和少女)
一代天骄成吉思汗的儿时命运: 代天骄成吉思汗的儿时命运
隔着屏幕也能够共情到孙均，易烊千玺真的好会演啊，帅哥这样的演技，多多演电影吧！: 隔着屏幕也能够共情到孙均,易烊千玺真的好会演啊
学生观影场】从电影里，看见爱勇气和温暖。像南河一样拥抱自己的孩子。拥抱自己和这个世界的善意。: 电影《南河》第43集:拥抱自己的善意
雷佳音片场花絮放出，戴帽子造型帽子底下的额头都是一圈印子，看上去帽子不重所以为啥红了大家懂吗[]: 佳音片场花絮放出
电影《无名》一部震撼的作品，也是一场视觉盛宴。影片一开场便被程耳导演的镜头美学触动，无论是光影的把控，还是画面结构的布置，都十分精细且恰到好处。对于演员的演技无需多言，堪称完美。哭泣时红了眼眶打戏可以称为酣畅淋漓拥抱诀别时眼角的抽动大荧幕可以放大所有细节，让观众真正走进人物的世界去享受剧情。简直是笑不活了哈哈哈，王一博看到程耳烟拿反了的表情，想提醒又不敢提醒的样子！: 《无名》视觉盛宴
电影中国乒乓之绝地反击: 中国乒乓之绝地反击
全片印象最深的一场戏，张大亲手送走义士刘喜，这是诀别苦。尝了刘喜女儿桃丫头的果子，这是樱桃甜。而张大无声无息的痛苦，也被孙均收入眼底，让孙均的内心在正邪之间激烈的抗争: 电影印象最深的一场戏:张大送走义士刘喜
这是最后一次了。【出处《流浪地球2》《火影忍者疾风传》】: 《流浪地球2》《火影忍者疾风传》
